gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,64.439,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_xcd4_fp4,0.1%,36.6395,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_xcd4,2.5%,101.0785,0,0,0,2.99,23901.54,
gfx950,256,2,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,66.4121,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_fp4,0.2%,42.9461,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2_xcd4,2.6%,109.3582,0,0,0,5.52,22092.02,
gfx950,256,4,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,88.5802,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,0.1%,50.2999,flydsl_moe2_afp4_wfp4_bf16_t64x256x128_atomic,2.6%,138.8801,0,0,0,8.7,17396.07,
gfx950,256,8,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,104.9902,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_fp4,0.1%,62.7697,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2_persist,2.3%,167.7599,0,0,0,14.4,14401.64,
gfx950,256,16,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,133.419,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w2_fp4,0.1%,76.4146,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_persist,0.3%,209.8336,0,0,0,23.03,11514.44,
gfx950,256,32,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,159.443,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3_fp4,0.2%,95.3019,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_persist,2.4%,254.7449,0,0,0,37.93,9485.22,
gfx950,256,64,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,176.4353,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_fp4,0.2%,108.6485,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic,2.4%,285.0838,0,0,0,67.8,8477.18,
gfx950,256,128,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,194.5158,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,0.2%,105.8659,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2_persist,2.5%,300.3817,0,0,0,128.69,8048.07,
gfx950,256,256,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,182.0579,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3_fp4,0.1%,109.2897,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2_persist,2.5%,291.3476,0,0,0,265.35,8303.02,
gfx950,256,512,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,183.3387,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,0.1%,112.3012,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2_persist,2.5%,295.6399,0,0,0,523.0,8193.11,
gfx950,256,1024,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,227.2262,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3_bnt0_fp4,0.1%,135.0832,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2_persist,2.5%,362.3094,0,0,0,853.52,6702.84,
gfx950,256,2048,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,278.0046,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_bnt0_fp4,0.1%,202.184,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,2.5%,480.1886,0,0,0,1287.98,5083.6,
gfx950,256,4096,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,399.5875,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_bnt0_fp4,0.1%,316.5154,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,2.5%,716.1029,0,0,0,1727.34,3443.99,
gfx950,256,8192,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,608.0773,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,0.1%,897.8368,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,2.5%,1505.9141,0,0,0,1642.79,1671.13,
gfx950,256,16384,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1054.2367,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_fp4,0.1%,1058.0055,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,2.5%,2112.2422,0,0,0,2342.44,1239.08,
